"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","HRWKD","TOT","HR_WKD","A","2017",1570,
"TUR","HRWKD","TOT","HR_WKD","A","2014",1832,
"TUR","HRWKD","TOT","HR_WKD","A","2015",1832,
"GBR","HRWKD","TOT","HR_WKD","A","2014",1517,
"GBR","HRWKD","TOT","HR_WKD","A","2015",1501,
"GBR","HRWKD","TOT","HR_WKD","A","2016",1515,
"GBR","HRWKD","TOT","HR_WKD","A","2017",1514,
"USA","HRWKD","TOT","HR_WKD","A","2014",1784,
"USA","HRWKD","TOT","HR_WKD","A","2015",1785,
"USA","HRWKD","TOT","HR_WKD","A","2016",1781,
"USA","HRWKD","TOT","HR_WKD","A","2017",1780,
"CHL","HRWKD","TOT","HR_WKD","A","2014",1990,
"CHL","HRWKD","TOT","HR_WKD","A","2015",1988,
"CHL","HRWKD","TOT","HR_WKD","A","2016",1974,
"CHL","HRWKD","TOT","HR_WKD","A","2017",1954,
"EST","HRWKD","TOT","HR_WKD","A","2014",1816,
"EST","HRWKD","TOT","HR_WKD","A","2015",1809,
"EST","HRWKD","TOT","HR_WKD","A","2016",1812,
"EST","HRWKD","TOT","HR_WKD","A","2017",1813,
"ISR","HRWKD","TOT","HR_WKD","A","2014",1853,
"ISR","HRWKD","TOT","HR_WKD","A","2015",1858,
"ISR","HRWKD","TOT","HR_WKD","A","2016",1889,
"ISR","HRWKD","TOT","HR_WKD","A","2017",1885,
"RUS","HRWKD","TOT","HR_WKD","A","2014",1985,
"RUS","HRWKD","TOT","HR_WKD","A","2015",1978,
"RUS","HRWKD","TOT","HR_WKD","A","2016",1974,
"RUS","HRWKD","TOT","HR_WKD","A","2017",1980,
"SVN","HRWKD","TOT","HR_WKD","A","2014",1681.9,
"SVN","HRWKD","TOT","HR_WKD","A","2015",1687.9,
"SVN","HRWKD","TOT","HR_WKD","A","2016",1666.9,
"SVN","HRWKD","TOT","HR_WKD","A","2017",1655.09999999999,
"OECD","HRWKD","TOT","HR_WKD","A","2014",1748,
"OECD","HRWKD","TOT","HR_WKD","A","2015",1749,
"OECD","HRWKD","TOT","HR_WKD","A","2016",1749,
"OECD","HRWKD","TOT","HR_WKD","A","2017",1744,
"LVA","HRWKD","TOT","HR_WKD","A","2014",1747,
"LVA","HRWKD","TOT","HR_WKD","A","2015",1714,
"LVA","HRWKD","TOT","HR_WKD","A","2016",1715,
"LVA","HRWKD","TOT","HR_WKD","A","2017",1690,
"LTU","HRWKD","TOT","HR_WKD","A","2014",1598,
"LTU","HRWKD","TOT","HR_WKD","A","2015",1621,
"LTU","HRWKD","TOT","HR_WKD","A","2016",1643,
"LTU","HRWKD","TOT","HR_WKD","A","2017",1607,
"CRI","HRWKD","TOT","HR_WKD","A","2014",2121.69,
"CRI","HRWKD","TOT","HR_WKD","A","2015",2148.17999999999,
"CRI","HRWKD","TOT","HR_WKD","A","2016",2204.65,
"CRI","HRWKD","TOT","HR_WKD","A","2017",2178.92,
